time,open,close,high,low
2021-04-01 00:00:00,1.17274,1.17287,1.17288,1.17272
2021-04-01 00:01:00,1.17287,1.17285,1.17287,1.17279
2021-04-01 00:02:00,1.17283,1.17262,1.17283,1.17260
2021-04-01 00:03:00,1.17262,1.17259,1.17265,1.17258
2021-04-01 00:04:00,1.17259,1.17258,1.17259,1.17252
2021-04-01 00:05:00,1.17257,1.17251,1.17260,1.17251
2021-04-01 00:06:00,1.17250,1.17220,1.17250,1.17218
2021-04-01 00:07:00,1.17219,1.17231,1.17234,1.17215
2021-04-01 00:08:00,1.17232,1.17251,1.17253,1.17232
2021-04-01 00:09:00,1.17252,1.17244,1.17252,1.17241
2021-04-01 00:10:00,1.17244,1.17244,1.17251,1.17240
2021-04-01 00:11:00,1.17244,1.17243,1.17257,1.17235
2021-04-01 00:12:00,1.17242,1.17241,1.17242,1.17232
2021-04-01 00:13:00,1.17239,1.17252,1.17252,1.17235
2021-04-01 00:14:00,1.17250,1.17258,1.17258,1.17247
2021-04-01 00:15:00,1.17256,1.17268,1.17269,1.17256
2021-04-01 00:16:00,1.17267,1.17270,1.17272,1.17265
2021-04-01 00:17:00,1.17268,1.17265,1.17268,1.17260
2021-04-01 00:18:00,1.17264,1.17267,1.17267,1.17261
2021-04-01 00:19:00,1.17267,1.17271,1.17272,1.17267
2021-04-01 00:20:00,1.17271,1.17260,1.17271,1.17260
2021-04-01 00:21:00,1.17261,1.17255,1.17261,1.17255
2021-04-01 00:22:00,1.17255,1.17229,1.17255,1.17229
2021-04-01 00:23:00,1.17229,1.17226,1.17232,1.17217
2021-04-01 00:24:00,1.17226,1.17239,1.17240,1.17220
2021-04-01 00:25:00,1.17239,1.17233,1.17239,1.17233
2021-04-01 00:26:00,1.17234,1.17232,1.17243,1.17232
2021-04-01 00:27:00,1.17231,1.17242,1.17244,1.17230
2021-04-01 00:28:00,1.17243,1.17242,1.17252,1.17241
2021-04-01 00:29:00,1.17243,1.17244,1.17250,1.17242
2021-04-01 00:30:00,1.17245,1.17248,1.17250,1.17243
2021-04-01 00:31:00,1.17248,1.17249,1.17249,1.17242
2021-04-01 00:32:00,1.17251,1.17266,1.17269,1.17248
2021-04-01 00:33:00,1.17264,1.17268,1.17268,1.17258
2021-04-01 00:34:00,1.17269,1.17272,1.17274,1.17269
2021-04-01 00:35:00,1.17271,1.17279,1.17280,1.17268
2021-04-01 00:36:00,1.17278,1.17278,1.17280,1.17271
2021-04-01 00:37:00,1.17278,1.17281,1.17287,1.17275
2021-04-01 00:38:00,1.17281,1.17290,1.17297,1.17280
2021-04-01 00:39:00,1.17289,1.17285,1.17290,1.17275
2021-04-01 00:40:00,1.17286,1.17287,1.17290,1.17282
2021-04-01 00:41:00,1.17286,1.17278,1.17286,1.17275
2021-04-01 00:42:00,1.17277,1.17269,1.17277,1.17269
2021-04-01 00:43:00,1.17268,1.17259,1.17270,1.17259
2021-04-01 00:44:00,1.17259,1.17271,1.17274,1.17257
2021-04-01 00:45:00,1.17273,1.17268,1.17274,1.17265
2021-04-01 00:46:00,1.17269,1.17270,1.17271,1.17265
2021-04-01 00:47:00,1.17269,1.17270,1.17270,1.17269
2021-04-01 00:48:00,1.17267,1.17270,1.17273,1.17264
2021-04-01 00:49:00,1.17267,1.17255,1.17267,1.17255
2021-04-01 00:50:00,1.17256,1.17266,1.17266,1.17254
2021-04-01 00:51:00,1.17266,1.17288,1.17288,1.17266
2021-04-01 00:52:00,1.17290,1.17315,1.17318,1.17290
2021-04-01 00:53:00,1.17314,1.17323,1.17325,1.17305
2021-04-01 00:54:00,1.17320,1.17299,1.17323,1.17297
2021-04-01 00:55:00,1.17308,1.17292,1.17311,1.17291
2021-04-01 00:56:00,1.17293,1.17289,1.17293,1.17289
2021-04-01 00:57:00,1.17288,1.17297,1.17297,1.17286
2021-04-01 00:58:00,1.17298,1.17296,1.17298,1.17289
2021-04-01 00:59:00,1.17297,1.17297,1.17302,1.17297
2021-04-01 01:00:00,1.17299,1.17311,1.17319,1.17299
2021-04-01 01:01:00,1.17312,1.17305,1.17314,1.17301
2021-04-01 01:02:00,1.17304,1.17296,1.17304,1.17290
2021-04-01 01:03:00,1.17296,1.17306,1.17306,1.17295
2021-04-01 01:04:00,1.17307,1.17304,1.17310,1.17300
2021-04-01 01:05:00,1.17306,1.17301,1.17308,1.17297
2021-04-01 01:06:00,1.17299,1.17297,1.17299,1.17296
2021-04-01 01:07:00,1.17296,1.17287,1.17297,1.17282
2021-04-01 01:08:00,1.17289,1.17286,1.17294,1.17286
2021-04-01 01:09:00,1.17284,1.17281,1.17284,1.17281
2021-04-01 01:10:00,1.17279,1.17281,1.17285,1.17277
2021-04-01 01:11:00,1.17281,1.17287,1.17292,1.17281
2021-04-01 01:12:00,1.17288,1.17291,1.17292,1.17288
2021-04-01 01:13:00,1.17291,1.17284,1.17293,1.17284
2021-04-01 01:14:00,1.17285,1.17294,1.17294,1.17285
2021-04-01 01:15:00,1.17292,1.17296,1.17297,1.17292
2021-04-01 01:16:00,1.17294,1.17298,1.17300,1.17292
2021-04-01 01:17:00,1.17297,1.17296,1.17297,1.17296
2021-04-01 01:18:00,1.17294,1.17293,1.17294,1.17288
2021-04-01 01:19:00,1.17294,1.17294,1.17297,1.17293
2021-04-01 01:20:00,1.17294,1.17295,1.17296,1.17293
2021-04-01 01:21:00,1.17296,1.17296,1.17296,1.17293
2021-04-01 01:22:00,1.17295,1.17305,1.17311,1.17295
2021-04-01 01:23:00,1.17306,1.17312,1.17312,1.17305
2021-04-01 01:24:00,1.17312,1.17317,1.17317,1.17312
2021-04-01 01:25:00,1.17317,1.17319,1.17322,1.17317
2021-04-01 01:26:00,1.17318,1.17318,1.17318,1.17318
2021-04-01 01:27:00,1.17318,1.17313,1.17318,1.17312
2021-04-01 01:28:00,1.17312,1.17316,1.17318,1.17312
2021-04-01 01:29:00,1.17317,1.17308,1.17317,1.17307
2021-04-01 01:30:00,1.17308,1.17287,1.17308,1.17285
2021-04-01 01:31:00,1.17286,1.17295,1.17295,1.17283
2021-04-01 01:32:00,1.17297,1.17296,1.17302,1.17294
2021-04-01 01:33:00,1.17297,1.17296,1.17301,1.17294
2021-04-01 01:34:00,1.17295,1.17301,1.17301,1.17287
2021-04-01 01:35:00,1.17300,1.17301,1.17305,1.17297
2021-04-01 01:36:00,1.17301,1.17303,1.17306,1.17301
2021-04-01 01:37:00,1.17304,1.17305,1.17307,1.17303
2021-04-01 01:38:00,1.17306,1.17310,1.17310,1.17302
2021-04-01 01:39:00,1.17311,1.17306,1.17312,1.17306
2021-04-01 01:40:00,1.17304,1.17321,1.17321,1.17304
2021-04-01 01:41:00,1.17321,1.17317,1.17321,1.17316
2021-04-01 01:42:00,1.17315,1.17315,1.17315,1.17313
2021-04-01 01:43:00,1.17314,1.17313,1.17315,1.17310
2021-04-01 01:44:00,1.17313,1.17311,1.17314,1.17306
2021-04-01 01:45:00,1.17308,1.17289,1.17309,1.17288
2021-04-01 01:46:00,1.17287,1.17294,1.17295,1.17279
2021-04-01 01:47:00,1.17295,1.17291,1.17299,1.17291
2021-04-01 01:48:00,1.17293,1.17296,1.17308,1.17293
2021-04-01 01:49:00,1.17298,1.17293,1.17299,1.17292
2021-04-01 01:50:00,1.17293,1.17286,1.17294,1.17286
2021-04-01 01:51:00,1.17288,1.17286,1.17291,1.17286
2021-04-01 01:52:00,1.17286,1.17284,1.17286,1.17282
2021-04-01 01:53:00,1.17284,1.17283,1.17286,1.17283
2021-04-01 01:54:00,1.17283,1.17287,1.17289,1.17283
2021-04-01 01:55:00,1.17289,1.17308,1.17308,1.17288
2021-04-01 01:56:00,1.17307,1.17303,1.17308,1.17302
2021-04-01 01:57:00,1.17304,1.17299,1.17304,1.17298
2021-04-01 01:58:00,1.17298,1.17300,1.17304,1.17297
2021-04-01 01:59:00,1.17301,1.17299,1.17304,1.17299
2021-04-01 02:00:00,1.17300,1.17320,1.17320,1.17300
2021-04-01 02:01:00,1.17321,1.17330,1.17331,1.17321
2021-04-01 02:02:00,1.17328,1.17327,1.17328,1.17319
2021-04-01 02:03:00,1.17325,1.17313,1.17325,1.17312
2021-04-01 02:04:00,1.17311,1.17314,1.17314,1.17307
2021-04-01 02:05:00,1.17315,1.17309,1.17318,1.17308
2021-04-01 02:06:00,1.17311,1.17310,1.17312,1.17309
2021-04-01 02:07:00,1.17308,1.17300,1.17312,1.17300
2021-04-01 02:08:00,1.17300,1.17296,1.17303,1.17296
2021-04-01 02:09:00,1.17295,1.17300,1.17302,1.17293
2021-04-01 02:10:00,1.17300,1.17299,1.17300,1.17296
2021-04-01 02:11:00,1.17301,1.17294,1.17301,1.17294
